Program Name,Program Type,Location,Phone,Email,Website,Languages,Age Groups,Curriculum,Schools Served
Douglas Park Academy In-Home Multi-Age Child Care,In-Home Multi-Age Child Care,4037 Commercial Street,604-565-7866,lisa@douglasparkacademy.com,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Douglas Park Academy Multi-Age Child Care,Multi-Age Child Care,#2 - 845 West 20th Avenue,604-428-5472,lisa@douglasparkacademy.com,https://www.douglasparkacademy.com/,English,2.5 - 5 yrs,,
Douglas Park Preschool,Preschool (30mths - School Age),801 West 22nd Avenue,604-257-8134,rosie.laforges@vancouver.ca,,English; Greek,2.5 - 5 yrs,,
Douglas Park School Age Care,Group Care School Age,801 West 22nd Avenue,604-257-8134,rosie.laforges@vancouver.ca,,English; Spanish; Greek; French,5 - 12 yrs,,Cavell; Carr
Douglas Park Summer Preschool,Preschool (30mths - School Age),801 West 22nd Avenue,604-257-8134,rosie.laforges@vancouver.ca,,English,2.5 - 5 yrs,,
Douglas YMCA Kids Club (School Age Care on School Grounds),Group Care School Age,2150 Brigadoon Avenue,604-218-2816,ymcakidsclubs@bc.ymca.ca,https://gv.ymca.ca/,English,5 - 12 yrs,,Douglas
Dragonfly Licensed Family Child Care,Licensed Family Child Care,#403- 1267 Marinaside Crescent,604-767-4749,brkiclila@yahoo.com,,English; Serbian,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Dunbar Kids Club,Group Care School Age,3776 West 28th Avenue,604-221-1148,amandag@kitshouse.org,,English,5 - 12 yrs,,Immaculate Conception
Dunbar Memorial Preschool,Preschool (30mths - School Age),4747 Dunbar Street,604-222-6065,info@dmppp.ca,http://www.dmppp.ca/,English,2.5 - 5 yrs,Play Based,
Dunbar-Queen Elizabeth Group Child Care (School Age),Group Care School Age,4102 West 16th Avenue,604-224-1125,qedaycare@vsb.bc.ca,,English; Spanish; French,5 - 12 yrs,,Queen Elizabeth Annex; Quesnel; Queen Elizabeth
Eagle's Nest Aboriginal Headstart Preschool,Preschool (30mths - School Age),618 East Hastings Street,604-253-3354,coordinator@en.acc-society.bc.ca,,English,2.5 - 5 yrs,Play Based,
Earles Montessori Learning In-Home Multi-Age Child Care,In-Home Multi-Age Child Care,4686 Earles Street,604-436-4545,earlesmontessori@gmail.com,,English; Tagalog,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,Montessori,
Early Beginnings Multi-Age Child Care,Multi-Age Child Care,2643 McGill Street,604-255-2579,adeela_b@hotmail.com,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,Hastings
Early World Licensed Family Child Care,Licensed Family Child Care,2845 Dundas Street,604-251-5306,rajii59@hotmail.com,,English; Urdu; Hindi,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
East Side Family Place Child Minding,Occasional Child Care,1655 William Street,604-255-9841,gmcclain@eastsidefamilyplace.org,http://www.eastsidefamilyplace.org/,English,2.5 - 5 yrs; 19 - 36 mo,,
East Van Child Care Centre Licensed Family Child Care,Licensed Family Child Care,140 N Slocan Street,778-938-8467,,,English; Spanish,2.5 - 5 yrs,,
East Village Kids (3-5 programs),Group Daycare (30mths - School Age),3194 East Georgia Street,604-215-0839,Hello@EastVillageKids.ca,http://www.eastvillagekids.ca/,English,2.5 - 5 yrs,,
East Village Kids (Infant/Toddler),Group Daycare (under 36 mths),3194 East Georgia Street,604-215-0839,Hello@EastVillageKids.ca,http://www.eastvillagekids.ca/,English,0 - 18 mo; 19 - 36 mo,,
East Village Kids Group Child Care,Group Care School Age,19 N Renfrew Street,604-215-0839,brady@eastvillagekids.ca,http://www.eastvillagekids.ca/,English,5 - 12 yrs,,West Coast Christian School; Hastings
East Village Kids Preschool,Preschool (30mths - School Age),19 N Renfrew Street,604-215-0839,brady@eastvillagekids.ca,http://www.eastvillagekids.ca/,English,2.5 - 5 yrs,Reggio Inspired,West Coast Christian School; Hastings; Tillicum Annex
Eco Bear In-Home Multi-Age Child Care,In-Home Multi-Age Child Care,3545 West 14th Avenue,778-223-2547,ecobeardaycare@gmail.com,,English; Japanese,2.5 - 5 yrs,,
Elite Montessori Academy,Group Daycare (30mths - School Age),101 - 3641 West 29th Avenue,604-221-0242,EMAadmission@gmail.com,,English,2.5 - 5 yrs,Montessori,
Elite Montessori Academy Blenheim Group Care,Group Daycare (30mths - School Age),4720 Blenheim Street,778-928-0984,,,English,2.5 - 5 yrs,Montessori,
Evergreen Montessori Preschool,Preschool (30mths - School Age),3860 Trafalgar Street,604-736-8373,evergreenm@telus.net,,English; Mandarin; French,2.5 - 5 yrs,Montessori,
Everyday Sunshine Licensed Family Child Care,Licensed Family Child Care,105 - 95 East 1st Avenue,604-754-7238,mbafkar@hotmail.com,,English; Turkish,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Explore & Learn Family Daycare Licensed Family Child Care,Licensed Family Child Care,4517 Fraser Street,778-866-5459,,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Extra Steps Preschool,Preschool (30mths - School Age),726 West 16th Avenue,604-569-0388,info@extrasteps.ca,http://www.extrasteps.ca/,English,2.5 - 5 yrs,Play Based,
False Creek Out Of School Care,Group Care School Age,"Bldg.#79, 1318 Cartwright Street",604-257-6998,tabatha.marin@vancouver.ca,,English,5 - 12 yrs,,False Creek
Family Montessori School,Group Daycare (30mths - School Age),1099 Sitka Square,604-731-8810,info@familymontessori.com,,English,2.5 - 5 yrs,Montessori,
Finnegan Out Of School Care,Group Care School Age,5401 Hudson Street,604-261-4285,bseppelt@vc.bc.ca,,English,5 - 12 yrs,,Vancouver College
First Avenue Licensed Family Child Care,Licensed Family Child Care,162 Walter Hardwick Avenue,778-839-9999,,,English,2.5 - 5 yrs,,
Fleming YMCA Kids Club (School Age on School Grounds),Group Care School Age,6363 Lanark Street,604-318-9038,ymcakidsclubs@bc.ymca.ca,http://gv.ymca.ca/,English,5 - 12 yrs,,Fleming
Forget-Me-Not Montessori Preschool,Preschool (30mths - School Age),6184 Ash Street,604-324-1035,teacheramala@yahoo.com,,English; Mandarin; French; Cantonese,2.5 - 5 yrs,Montessori,
Franklin Community Preschool,Preschool (30mths - School Age),250 South Skeena Street,604-291-9310,franklinpreschool@gmail.com,http://www.franklinpreschool.ca/,English; Spanish; Tagalog,2.5 - 5 yrs,Bilingual,
Franklin YMCA Kids Club,Group Care School Age,250 South Skeena Street,778-960-6463,ymcakidsclubs@bc.ymca.ca,https://gv.ymca.ca/,English,5 - 12 yrs,,Franklin
Fraser Montessori Children's House,Group Daycare (30mths - School Age),6858 Fraser Street,778-996-0590,,,English,2.5 - 5 yrs,Montessori,
Fraserhood Childcare Centre,Group Daycare (under 36 mths),4585 Prince Albert Street,604-724-6818,fraserhoodchildcarecentre@gmail.com,,English,0 - 18 mo; 19 - 36 mo,,
Fraserview Club,Recreational Care,7595 Victoria Drive,604-325-9612,fraserviewclub@bgcbc.ca,https://www.bgcbc.ca/locations/fraserview/,English,5 - 12 yrs,,Douglas Annex
Fraserview Montessori Preschool and Kindergarten,Preschool (30mths - School Age),1992 Prestwick Drive,604-324-4324,fraserviewmontessori@gmail.com,http://www.fraserviewmontessori.com/,English,2.5 - 5 yrs,Montessori,
Free-Spirit Licensed Family Child Care,Licensed Family Child Care,3150 East 53rd Avenue,778-855-6401,emilymmk@hotmail.com,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,Cook
Frog Hollow NBH House's Kids World,Group Care School Age,2131 Renfrew Street,604-251-1225,mike@froghollow.bc.ca,,English; Spanish; Greek; French; Cantonese,5 - 12 yrs,,Secord; Maquinna; Wakwanas ta syaqwam (Begbie)
Frog Hollow NBH House's Nootka Group Child Care,Group Care School Age,3375 Nootka Street,604-657-7276,Frankie@froghollow.bc.ca,,English,5 - 12 yrs,,Nootka
Frog Hollow NBH House's Preschool,Preschool (30mths - School Age),2131 Renfrew Street,604-251-1225 241,nicoletta@froghollow.bc.ca,http://www.froghollow.bc.ca/,English,2.5 - 5 yrs,Reggio Inspired,
Funny Bunny's Licensed Family Child Care,Licensed Family Child Care,3478 East 25th Avenue,778-881-8013,javairiaakbar@hotmail.com,,English; Hindi,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,Renfrew
Garderie L'ile aux enfants,Group Daycare (30mths - School Age),5445 Baillie Street,604-736-5056,garderies@fpfcb.bc.ca,https://www.ileauxenfants.ca/home1,English; French,2.5 - 5 yrs,,
Garderie Tartine et Chocolat,Group Daycare (30mths - School Age),7051 Killarney Street,778-955-6440,tartineetchocolat-educ-resp@fpfcb.bc.ca,,English; French,2.5 - 5 yrs,,
Gingerbread House Day Care,Group Daycare (30mths - School Age),3350 East 54th Avenue,604-433-4819,,http://www.day-care-vancouver.com/,English,2.5 - 5 yrs,Play Based,Cook; Champlain Heights; Champlain Heights Annex
Global Montessori Centre,Group Daycare (under 36 mths),8860 Hudson Street,604-558-1150,angelaj@globalmontessoricenter.com,https://globalmontessoricenter.ca/,English; Korean,0 - 18 mo; 19 - 36 mo,Montessori,
Good Shepherd Day Care,Group Daycare (30mths - School Age),7416 Victoria Drive,604-325-8299,info@gsdaycare.com,http://gsdaycare.com/,English; Spanish; Mandarin; Cantonese,2.5 - 5 yrs,Reggio Inspired,
Good Start Child Care,Registered License-Not-Required Child Care,Broughton street and Barclay Street,778-251-6135,,,English; Farsi,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Gordon NBH House Out Of School Care,Group Care School Age,1019 Broughton Street,604-683-2554,welcome@gordonhouse.org,,English; French; Cantonese,5 - 12 yrs,,Roberts Annex; Roberts
Graham Bruce School Age Child Care Centre,Group Care School Age,3633 Tanner Street,604-435-0323,AMerton@cnh.bc.ca,,English,5 - 12 yrs,Play Based,Graham Bruce Elementary
Grandview Terrace Child Care #3,Group Care School Age,2055 Woodland Drive,604-718-5854,grandviewcc@shawbiz.ca,,English,5 - 12 yrs,,Queen Victoria Annex
Granville House Montessori School,Group Daycare (30mths - School Age),4355 Granville Street,780-504-7860,registration@ghmschool.net,https://granvillehousemontessori.com/,English,2.5 - 5 yrs,Montessori,
Granville House Montessori School In-Home Multi-Age Child Care,In-Home Multi-Age Child Care,4355 Granville Street,780-504-7860,,,English,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,Montessori,
Grassroots Early Learning and Care,Multi-Age Child Care,3066 E 23rd Ave,604-434-2368,grassrootselc@hotmail.com,,English,2.5 - 5 yrs,,
Green House Multi-Age Child Care Centre,Multi-Age Child Care,523 East 12th Avenue,604-760-5048,greenhousemccc@gmail.com,,English,2.5 - 5 yrs,,
Grenfell School Age Child Care Centre,Group Care School Age,"Room 102 & 103, 3323 Wellington Avenue",604-435-0323,AMerton@cnh.bc.ca,,English; Punjabi; Hindi,5 - 12 yrs,Play Based,Grenfell
Grenfell School Age Child Care Centre (School Age Care on School Grounds),Group Care School Age,5987 Prince Albert Street,604-434-9994,collingwoodchildcare@cnh.bc.ca,https://www.cnh.bc.ca/childcare/,English,5 - 12 yrs,,Grenfell
Growing Spaces In-Home Multi-Age Child Care,In-Home Multi-Age Child Care,3579 Walker Street,778-549-8059,kryshenne@gmail.com,,English; Spanish,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Hands & Hearts Licensed Family Child Care,Licensed Family Child Care,105 - 7988 Yukon Street,778-834-1345,mahvashamini1@gmail.com,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Happy Corner Parent Participation Preschool,Preschool (30mths - School Age),3434 Falaise Avenue,604-433-7923,happycornerinfo@gmail.com,https://happycorner.ca/,English; Mandarin,2.5 - 5 yrs,Play Based,
Happy Feet Montessori In-Home Multi-Age Child Care,In-Home Multi-Age Child Care,7858 Hudson Street,604-264-8988,happyfeetmontessori@hotmail.com,,English; Mandarin; Cantonese,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,Montessori,
Happy House In-Home Multi-Age Child Care,In-Home Multi-Age Child Care,720 E 61st Ave,604-803-8325,farhana.hossain197423@gmail.com,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,Moberley
Happy House Learning Centre In-Home Multi-Age Child Care,In-Home Multi-Age Child Care,2105 West 19th Avenue,604-721-5169,suzan.parvaz@gmail.com,https://happyhousevancouver.com/,English; Farsi,5 - 12 yrs; 2.5 - 5 yrs,,
Happy Land Licensed Family Child Care,Licensed Family Child Care,3250 Parker Street,604-251-8029,vivian.lailing@gmail.com,,English; Mandarin; Cantonese,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,Wakwanas ta syaqwam (Begbie)
Happy Place Licensed Family Child Care,Licensed Family Child Care,5520 Stamford Street,604-439-0891,diomi2000@hotmail.com,,English; Spanish; Tamil,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,St. Mary's
Happy Times In-Home Multi-Age Child Care,In-Home Multi-Age Child Care,3768 Knight Street,604-435-5398,lindaweiyan@hotmail.com,,English; Mandarin,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,Selkirk
Hastings Community Centre Preschool,Preschool (30mths - School Age),3096 East Hastings Street,604-718-6234,angela.pardek@vancouver.ca,,English; Italian,2.5 - 5 yrs,Play Based,
Hastings Community Out of School Care,Group Care School Age,3096 East Hastings,604-718-6234,janice.manfron@vancouver.ca,,English,5 - 12 yrs,,Lord; Hastings
Hastings YMCA Kids Club (School Age on School Grounds),Group Care School Age,2625 Franklin Street,604-254-3199,ymcakidsclubs@bc.ymca.ca,https://gv.ymca.ca/,English,5 - 12 yrs,,Hastings
Heather Bible Chapel Preschool,Preschool (30mths - School Age),777 West 68th Avenue,604-321-7446,info@heatherbiblechapel.online,https://heatherbiblechapel.online/preschool/,English; Mandarin; Cantonese,2.5 - 5 yrs,Play Based,
Helen's Licensed Family Child Care,Licensed Family Child Care,2654 East 5th Avenue,604-291-7169,h_cheng18@hotmail.com,,English; Mandarin; Cantonese,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Helping Hands In-Home Multi-Age Child Care,In-Home Multi-Age Child Care,656 East 59th Avenue,604-365-6550,hhchildcare@hotmail.com,http://www.helpinghandschildcare.ca/,English; Punjabi,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Henderson YMCA Kids Club,Group Care School Age,451 East 53rd Avenue,604-681-9622,ymcakidsclubs@bc.ymca.ca,http://gv.ymca.ca/,English,5 - 12 yrs,,Trudeau
Heron's Landing - Infant Toddler,Group Daycare (under 36 mths),5th Fl - 6180 Walter Gage Rd,604-822-5343,childcare@housing.ubc.ca,,English,0 - 18 mo; 19 - 36 mo,,
Heron's Landing 3-5,Group Daycare (30mths - School Age),5th Fl - 6180 Walter Gage Rd,604-822-5343,childcare@housing.ubc.ca,,English,2.5 - 5 yrs,,
High Five Licensed Family Child Care,Licensed Family Child Care,#206 - 228 East 7th Avenue,778-875-2052,highfivefamilychildcare@gmail.com,,English; Mandarin,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Home Sweet Home FCC,Licensed Family Child Care,1249 East 11th Avenue,604-619-0331,mymaylingwong@gmail.com,,English; Cantonese,2.5 - 5 yrs,,
Honey In-Home Multi-Age Child Care,In-Home Multi-Age Child Care,#105 - 3489 Ascot Place,778-999-1521,suhani@hotmail.com,,English; Hindi,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
House of Montessori Daycare (Multi-Age),Multi-Age Child Care,6599 Berkeley Street,604-417-1505,houseofmontessori09@yahoo.ca,,English; Tagalog,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,Montessori,
Hummingbird In-Home Multi-Age Child Care,In-Home Multi-Age Child Care,1717 East 63rd Avenue,778-321-3509,olga.costin@gmail.com,,English; Russian,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
IKOKA Childcare Learning Center 57th,Group Daycare (30mths - School Age),1025 East 57th Avenue,778-861-7446,ikoka57th@outlook.com,,English,2.5 - 5 yrs,,
IKOKA Childcare Learning Centre,Group Daycare (30mths - School Age),7808 Ross Street,778-861-7446,ikokachildcarecenter@outlook.com,,English,2.5 - 5 yrs,,
Itandehui Licensed Family Child Care,Licensed Family Child Care,2294 Marlin Quay,604-724-4551,blancasuarez_20@hotmail.com,,English; Spanish; French,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Jamieson YMCA Kids Club,Group Care School Age,6350 Tisdall Street,604-336-9941,ymcakidsclubs@bc.ymca.ca,https://gv.ymca.ca/,English; Mandarin; Russian; Cantonese; German,5 - 12 yrs,,Jamieson
Janey Baby Licensed Family Child Care,Licensed Family Child Care,975 Bute Street,604-314-7573,panahachel@hotmail.com,,English; Spanish; Portugese; American Sign Language,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,Roberts Annex
JCC B'Raysheet Toddler Daycare,Group Daycare (under 36 mths),950 West 41st. Avenue,604-257-5111 240,jtrickett@jccgv.bc.ca,,English; Spanish; Mandarin; French; Cantonese,19 - 36 mo,Play Based,
JCC Shalom Aleph and Shabbat Shalom,Occasional Child Care,950 West 41st Avenue,604-257-5111,jtrickett@jccgv.bc.ca,,English,2.5 - 5 yrs; 19 - 36 mo,,
JCC Shalom Out of School Care,Group Care School Age,950 West 41st Avenue,604-257-5111 246,jtrickett@jccgv.bc.ca,,English; Greek; Hebrew,5 - 12 yrs,,L'Ecole Bilingue; Vancouver Talmud Torah
JCC Shalom Yeladim Daycare,Group Daycare (30mths - School Age),950 West 41st. Avenue,604-257-5111 318,jtrickett@jccgv.bc.ca,,English; Serbian; Hebrew,2.5 - 5 yrs,Play Based,
Jeanette In-Home Multi-Age Child Care,In-Home Multi-Age Child Care,#230-2915 Kaslo Street,604-253-4595,jbartle@telus.net,,English,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Jericho Kids Club 1,Group Care School Age,2251 Collingwood Street,604-736-4080,info@jerichokidsclub.com,http://jerichokidsclub.com/,English,5 - 12 yrs,,Southlands
Jericho Kids Club 3 Southlands (School Age Care on School Grounds),Group Care School Age,5351 Camosun Street,604-736-4080,info@jerichokidsclub.com,http://jerichokidsclub.com/,English,5 - 12 yrs,,St. Georges
Jericho Kids' Club 1 - Bayview (School Age Care on School Grounds),Group Care School Age,3505 West 7th Avenue,604-736-4080 1,info@jerichokidsclub.com,http://jerichokidsclub.com/,English,5 - 12 yrs,,Bayview
Jericho Kids' Club 2 - General Gordon Schoolhouse (School Age on School Grounds),Group Care School Age,2268 Bayswater Street,604-736-4080 ext. 2,info@jerichokidsclub.com,http://jerichokidsclub.com/,English,5 - 12 yrs,,Gordon
Jericho Kids' Club 2 General Gordon (School Age on School Grounds),Group Care School Age,2268 Bayswater Street,604-736-4080 ext.4,info@jerichokidsclub.com,http://jerichokidsclub.com/,English,5 - 12 yrs,,Gordon
JJ's Child Care,Registered License-Not-Required Child Care,Archimedes St. and Tyne St.,778-822-0318,,,English; Mandarin,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
John Oliver Nursery School,Preschool (30mths - School Age),530 East 41st Avenue,604-324-1317,,http://johnoliverpreschool.wordpress.com/,English; Korean,2.5 - 5 yrs,Parent Involvement,
Jolly World Licensed Family Child Care,Licensed Family Child Care,#619-1267 Marinaside Cresent,604-662-4180,jollyworld@novuscom.net,,English; Serbo-Croatian,0 - 18 mo; 19 - 36 mo,,
Jules Quesnel YMCA Kids Club (School Age Care on School Grounds),Group Care School Age,3050 Crown Street,604-222-0114,ymcakidsclubs@bc.ymca.ca,https://gv.ymca.ca/,English; Punjabi,5 - 12 yrs,,Quesnel
Jungle Trail In-Home Multi-Age Child Care,In-Home Multi-Age Child Care,3228 East 48th Avenue,778-881-2772,jungletrailchildcare@gmail.com,,English; Mandarin; Cantonese,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Kelly's Licensed Family Child Care,Licensed Family Child Care,1618 East 34th Avenue,604-321-8418,ybkelly34@hotmail.com,,English; Mandarin; Cantonese,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Kenagnes Licensed Family Child Care,Licensed Family Child Care,534 East 49th Avenue,778-329-2525,jbearfamily@gmail.com,,English; Mandarin; Cantonese,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,Henderson
Kensington Out of School Care,Group Care School Age,5175 Dumfries Street,604-718-6207,kcooper@cedarcottage.org,,English,5 - 12 yrs,,Tecumseh
Kensington Preschool,Preschool (30mths - School Age),5175 Dumfries Street,604-718-6207,kensington@cedarcottage.org,,English,2.5 - 5 yrs,,
Kerrisdale Little Owl's Preschool,Preschool (30mths - School Age),#109-5851 West Boulevard,778-549-2520,kerrisdalelittleowls@gmail.com,https://www.kerrisdalelittleowls.com/,English,2.5 - 5 yrs,Play Based,
Kerrisdale YMCA Kids Club,Group Care School Age,5555 Carnarvon Street,604-261-9611,ymcakidsclubs@bc.ymca.ca,https://gv.ymca.ca/,English; French; Cantonese; German,5 - 12 yrs,,Kerrisdale Annex
KEY LaunchPad Academy,Preschool (30mths - School Age),5th Floor - 5750 Oak Street,604-638-5398,info@keyadmissions.com,https://www.keyeducation.com/node/820,English,2.5 - 5 yrs,,
Kiddy Junction Academy - Division lll,Group Daycare (30mths - School Age),2752 East 41st Ave,604-336-5900,jk3@kiddyjunction.ca,https://www.kiddyjunction.ca/,English,2.5 - 5 yrs,,
Kiddy Junction Academy - Division lll,Group Daycare (under 36 mths),2752 East 41st Ave,604-336-5900,,https://www.kiddyjunction.ca/,English,0 - 18 mo; 19 - 36 mo,,
Kiddy Junction Academy Division ll,Group Daycare (30mths - School Age),8686 Hudson Street,604-558-2552,admin@kiddyjunction.ca,http://www.kiddyjunction.ca/,English,2.5 - 5 yrs,,
Kids & Company Cambie,Group Daycare (30mths - School Age),217 - 6137 Cambie Street,604-336-0450,ccasais@kidsandcomany.com,https://kidsandcompany.com/locations/cambie/#centre-info,English,2.5 - 5 yrs,,
Kids & Company Cambie,Group Daycare (under 36 mths),#217- 6137 Cambie Street,604-336-0450,,,English,0 - 18 mo; 19 - 36 mo,,
Kids & Company Cambie (GDC-3),Group Daycare (under 36 mths),217 - 6137 Cambie Street,604-336-0450,,,English,0 - 18 mo; 19 - 36 mo,,
Kids and Company - Vancouver West (3-5 Program),Group Daycare (30mths - School Age),910 West 6th Avenue,604-742-0552,vancouverwest6@kidsandcompany.com,,English,2.5 - 5 yrs,,
Kids and Company - Vancouver West (Infant/Toddler),Group Daycare (under 36 mths),910 West 6th Avenue,604-742-0552,vancouverwest6@kidsandcompany.ca,,English,0 - 18 mo; 19 - 36 mo,,
Kids and Company - Vancouver West (School Age),Group Care School Age,910 West 6th Avenue,604-742-0552,vancouverwest6@kidsandcompany.com,https://kidsandcompany.com/,English,5 - 12 yrs,,False Creek
Kids Care Preschool,Preschool (30mths - School Age),7715 Muirfield Drive,604-325-2222,kidscarepreschool7715@gmail.com,https://www.southvancouverfamilyplace.org/about-kids-care/,English; Mandarin; Cantonese,2.5 - 5 yrs,Play Based,
Kids Castle Child Care,Registered License-Not-Required Child Care,Pacific Blvd and Abbott Street,604-872-7156,,,English; Urdu,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Kids Club,Group Care School Age,2855 Acadia Road,604-822-5343,kidsclub@housing.ubc.ca,,English,5 - 12 yrs,,Norma Rose Point; University Hill
Kids First Licensed Family Child Care,Licensed Family Child Care,6295 Quebec Street,778-822-1079,SusieFJ@telus.net,,English; Filipino,2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,Van Horne
Kids Learning Center,Group Daycare (under 36 mths),2797 East 50th Avenue,778-628-3243,sharon909090@hotmail.com,,English,0 - 18 mo; 19 - 36 mo,,
Kids Learning Centre - Nanaimo St (Multi-Age),Multi-Age Child Care,7067 Nanaimo Street,778-628-3243,kidslearningcentre-nanaimo@outlook.com,,English,5 - 12 yrs; 2.5 - 5 yrs; 0 - 18 mo; 19 - 36 mo,,
Kids World First Steps,Occasional Child Care,7505 Arbutus Street,604-269-6612,info@arbutuskidsworld.ca,,English,2.5 - 5 yrs; 19 - 36 mo,,
Kids World Out of School Care,Group Care School Age,7505 Arbutus Street,604-269-6612,info@arbutuskidsworld.ca,,English,5 - 12 yrs,,Osler
Kids World Puddle Jumpers & Get Ready for School,Preschool (30mths - School Age),7505 Arbutus Street,604-269-6612,info@arbutuskidsworld.ca,https://www.arbutuskidsworld.ca/index,English,2.5 - 5 yrs,Reggio Inspired,
KIDSRUS EARLY LEARNING CENTER MAIN STREET,Group Daycare (under 36 mths),7007 Main Street,604-767-0439,kidsruschildcare@live.com,https://kidsruschildcarecentre.com/,English,0 - 18 mo; 19 - 36 mo,,
KIDSRUS Early Learning Center Munroe,Group Daycare (under 36 mths),7728 Munroe Cres,604-767-0439,kidsruschildcare@live.com,https://www.kidsruschildcarecentre.com/,English,0 - 18 mo; 19 - 36 mo,,
KIDSRUS Early Learning Center Oak Street,Group Daycare (under 36 mths),1007 West 51st Avenue,604-767-0439,kidsruschildcare@live.com,https://www.kidsruschildcarecentre.com/,English,0 - 18 mo; 19 - 36 mo,,
Kidsrus Early Learning Centre Langara,Group Daycare (under 36 mths),227 East 49th Avenue,604-767-0439,,,English,0 - 18 mo; 19 - 36 mo,,
KIDSRUS Early Learning Centre Vancouver,Group Daycare (under 36 mths),1-3261 East 54th Avenue,604-767-0439,kidsruschildcare@live.com,,English,0 - 18 mo; 19 - 36 mo,,
Killarney Community Centre Preschool,Preschool (30mths - School Age),6260 Killarney Street,604-718-8214,cindy.gulbransen@vancouver.ca,,English; Japanese,2.5 - 5 yrs,Play Based,
Killarney Community Centre School Age Care,Group Care School Age,6260 Killarney Street,604-718-8214,kccschildcare@vancouver.ca,,English; Tagalog; Mandarin; Cantonese,5 - 12 yrs,,Weir; Waverley
Killarney Park Preschool,Preschool (30mths - School Age),6426 Kerr Street,604-435-7455,preschool@kpmbchurch.org,,English; Tagalog; Mandarin; Cantonese; German,2.5 - 5 yrs,Play Based,
Kimount Club,Recreational Care,395 East 6th Avenue,604-874-0117,kimountclub@bgcbc.ca,https://www.bgcbc.ca/locations/kimount/,English,5 - 12 yrs,,
Kingcrest Learning Academy,Occasional Child Care,1346 Kingsway,604-619-8883,admin@wonderoflearning.ca,http://www.wonderoflearning.ca/,English,2.5 - 5 yrs; 19 - 36 mo,Reggio Inspired,
Kingcrest Learning Academy,Group Care School Age,1346 Kingsway,604-829-1346,monica@wonderoflearning.ca,http://www.wonderoflearning.ca/,English,5 - 12 yrs,,Dickens Annex
Kingcrest Learning Academy,Group Daycare (30mths - School Age),1346 Kingsway,604-829-1346,monica@kingcrestlearning.com,http://www.wonderoflearning.ca/,English,2.5 - 5 yrs,,
Kit's Cottage Day Care Ltd. (Infant/Toddler),Group Daycare (under 36 mths),2926 West 5th Avenue,604-737-2440,kitscottage@gmail.com,,English; Punjabi; Hindi; French,0 - 18 mo; 19 - 36 mo,,
Kitchener YMCA Kids Club (School Age on School Grounds),Group Care School Age,3455 West King Edward Avenue,604-734-1515,ymcakidsclubs@bc.ymca.ca,https://gv.ymca.ca/,English,5 - 12 yrs,,Kitchener
Kits Kids Club,Group Care School Age,2305 West 7th Avenue,604-736-3588 135,amandag@kitshouse.org,,English; French,5 - 12 yrs,,Tennyson; St. Augustine
Kits Star's Childcare Centre,Group Daycare (under 36 mths),2764 West 10th Avenue,778-889-9654,,,English,0 - 18 mo; 19 - 36 mo,,
